jugador,equipo,Competición,goles,asistencias,partidos
Sarabia P.,Wolves,Premier League,3,2,20
Sarr P. M.,Tottenham,Premier League,3,2,22
Asensio M.,Aston Villa,Premier League,3,1,20
Baleba C.,Brighton,Premier League,3,1,18
Barkley R.,Aston Villa,Premier League,3,1,21
Calvert-Lewin D.,Everton,Premier League,3,1,30
Chalobah T.,Chelsea,Premier League,3,1,21
Gabriel,Arsenal,Premier League,3,1,38
Hirst G.,Ipswich,Premier League,3,1,19
Joao Gomes,Wolves,Premier League,3,1,18
Nketiah E.,Crystal Palace,Premier League,3,1,17
Silva J.,Nottingham Forest,Premier League,3,1,19
Zirkzee J.,Manchester Utd,Premier League,3,1,20
van Dijk V.,Liverpool,Premier League,3,1,35
Aribo J.,Southampton,Premier League,3,0,20
Gabriel Jesus,Arsenal,Premier League,3,0,21
Keane M.,Everton,Premier League,3,0,23
Malen D.,Aston Villa,Premier League,3,0,23
McAtee J.,Manchester City,Premier League,3,0,21
Onana A.,Aston Villa,Premier League,3,0,21





Retegui M.,Atalanta,Serie A,25,8,36
Kean M.,Fiorentina,Serie A,19,3,36
Lookman A.,Atalanta,Serie A,15,5,33
Orsolini R.,Bolonia,Serie A,15,4,30
Lukaku R.,Nápoles,Serie A,14,10,34
Thuram M.,Inter,Serie A,14,4,33
McTominay S.,Nápoles,Serie A,12,4,34
Martínez L.,Inter,Serie A,12,3,31
Dovbyk A.,Roma,Serie A,12,2,32
Lucca L.,Udinese,Serie A,12,1,33
Pulisic C.,AC Milan,Serie A,11,9,35
Krstovic N.,Lecce,Serie A,11,5,37
Reijnders T.,AC Milan,Serie A,10,4,36
Vlahovic D.,Juventus,Serie A,10,4,33
Castellanos T.,Lazio,Serie A,10,3,32
Pedro P.,Lazio,Serie A,10,1,30
Piccoli R.,Cagliari,Serie A,10,1,37
Pinamonti A.,Genoa,Serie A,10,1,24
Adams C.,Torino,Serie A,9,3,36
Dia B.,Lazio,Serie A,9,3,28
Leao R.,AC Milan,Serie A,8,8,34
Zaccagni M.,Lazio,Serie A,8,6,32
Castro S.,Bolonia,Serie A,8,4,28
Ndoye D.,Bolonia,Serie A,8,4,31
Thauvin F.,Udinese,Serie A,8,3,34
Diao A.,Como,Serie A,8,1,34
Kolo Muani R.,Juventus,Serie A,8,1,33
Esposito Se.,Empoli,Serie A,8,0,24
De Ketelaere C.,Atalanta,Serie A,7,6,29
Cutrone P.,Como,Serie A,7,4,31
Yildiz K.,Juventus,Serie A,7,4,33
Saelemaekers A.,Roma,Serie A,7,3,23
Dumfries D.,Inter,Serie A,7,2,29
Paz N.,Como,Serie A,6,8,34
Bonny A.,Parma,Serie A,6,4,37
Strefezza G.,Como,Serie A,6,4,32
Zambo Anguissa Andre-Frank,Nápoles,Serie A,6,4,34
Dybala P.,Roma,Serie A,6,3,30
Colombo L.,Empoli,Serie A,6,2,33
Zortea N.,Cagliari,Serie A,6,2,31
Gudmundsson A.,Fiorentina,Serie A,6,1,26
Odgaard J.,Bolonia,Serie A,6,1,25
Raspadori G.,Nápoles,Serie A,6,1,31
Tengstedt C.,Verona,Serie A,6,1,28
Maldini D.,Atalanta,Serie A,6,0,31
Pohjanpalo J.,Venezia,Serie A,6,0,30
Calhanoglu H.,Inter,Serie A,5,6,34
Gosens R.,Fiorentina,Serie A,5,5,35
Soule M.,Roma,Serie A,5,5,33
Beltrán L.,Fiorentina,Serie A,5,4,31
Vlasic N.,Torino,Serie A,5,4,31
Kvaratskhelia K.,Nápoles,Serie A,5,3,32
Giménez S.,AC Milan,Serie A,5,2,30
Mota D.,Monza,Serie A,5,2,29
Weah T.,Juventus,Serie A,5,2,28
Djuric M.,Parma,Serie A,5,1,34
Frattesi D.,Inter,Serie A,5,1,27
Mosquera D.,Verona,Serie A,5,1,24
Morata A.,AC Milan,Serie A,5,0,29
Ondrejka J.,Parma,Serie A,5,0,30
Dimarco F.,Inter,Serie A,4,7,35
Adli Y.,Fiorentina,Serie A,4,6,28
Thuram K.,Juventus,Serie A,4,5,31
De Roon M.,Atalanta,Serie A,4,4,29
Man D.,Parma,Serie A,4,4,29
Shomurodov E.,Roma,Serie A,4,4,30
Hernández T.,AC Milan,Serie A,4,3,31
Mandragora R.,Fiorentina,Serie A,4,3,32
Nicolussi Caviglia H.,Venezia,Serie A,4,3,29
Arnautovic M.,Inter,Serie A,4,2,30
Brescianini M.,Atalanta,Serie A,4,2,31
Cristante B.,Roma,Serie A,4,2,29
Isaksen G.,Lazio,Serie A,4,2,30
Pierotti S.,Lecce,Serie A,4,2,31
Zappacosta D.,Atalanta,Serie A,4,2,31
Fazzini J.,Empoli,Serie A,4,1,31
Lourenco E.,Atalanta,Serie A,4,1,30
Sarr A.,Verona,Serie A,4,1,32
Del Prato E.,Parma,Serie A,4,0,30
Elmas E.,Torino,Serie A,4,0,28
Marusic A.,Lazio,Serie A,4,0,32
Sohm S.,Parma,Serie A,4,0,29
Barella N.,Inter,Serie A,3,6,35
Abraham T.,AC Milan,Serie A,3,4,28
El Shaarawy S.,Roma,Serie A,3,4,31
Pasalic M.,Atalanta,Serie A,3,4,32
Politano M.,Nápoles,Serie A,3,4,31
Conceicao F.,Juventus,Serie A,3,3,30
Hernani,Parma,Serie A,3,3,29
Koopmeiners T.,Juventus,Serie A,3,3,30
Mbangula S.,Juventus,Serie A,3,3,29
Miretti F.,Genoa,Serie A,3,3,28
Oristanio G.,Venezia,Serie A,3,3,27
Augusto C.,Inter,Serie A,3,2,29
Bisseck Y.,Inter,Serie A,3,2,30
Caprari G.,Monza,Serie A,3,2,29
Chukwueze S.,AC Milan,Serie A,3,2,28
Da Cunha L.,Como,Serie A,3,2,31
Dallinga T.,Bolonia,Serie A,3,2,30
Darmian M.,Inter,Serie A,3,2,31
Di Lorenzo G.,Nápoles,Serie A,3,2,29
Dominguez B.,Bolonia,Serie A,3,2,29
Ekkelenkamp J.,Udinese,Serie A,3,2,28
González N.,Juventus,Serie A,3,2,30
Marin R.,Cagliari,Serie A,3,2,31
Tete Morente,Lecce,Serie A,3,2,30
Dele-Bashiru F.,Lazio,Serie A,3,1,29
Dorgu P.,Lecce,Serie A,3,1,29
Fabbian G.,Bolonia,Serie A,3,1,30
Gineitis G.,Torino,Serie A,3,1,31
Paredes L.,Roma,Serie A,3,1,29
Pellegrino M.,Parma,Serie A,3,1,30
Viola N.,Cagliari,Serie A,3,1,31
Birindelli S.,Monza,Serie A,3,0,28
Cancellieri M.,Parma,Serie A,3,0,29
Cataldi D.,Fiorentina,Serie A,3,0,30
De Winter K.,Genoa,Serie A,3,0,27
Pellegri P.,Empoli,Serie A,3,0,29
Vasquez J.,Genoa,Serie A,3,0,30
Zapata D.,Torino,Serie A,3,0,29
de Vrij S.,Inter,Serie A,3,0,30






